단어,ASLLVD 개수,WLASL 개수,총 개수
HEAR+RUMBLE,5,15,20
HURT,8,12,20
WITH+NEG,3,17,20
YESTERDAY,3,17,20
HARD,6,14,20
AFRAID,12,8,20
MISS/ASSUME,7,13,20
BUSY/BUSINESS,10,10,20
FATHER,6,14,20
CONTINUE,8,12,20
TOUGH,11,9,20
LEAVE,4,16,20
WAIT,2,18,20
SPEECH/ORAL,7,13,20
AFTERNOON,7,13,20
WATER+MELON/PUMPKIN,2,18,20
BALL,4,16,20
WATER+RIVER,2,18,20
WATER+OCEAN,2,18,20
TOTAL,11,9,20
CRAZY,6,14,20
PURPLE,2,18,20
DELICIOUS,6,14,20
MAD,10,10,20
WITH,3,17,20
CONFLICT/INTERSECTION,9,11,20
ALLOW,8,12,20
LOSE,4,16,20
PAINT+AGENT,2,18,20
DIVORCE,6,14,20
PLAN,5,15,20
FLOWER,6,14,20
SON,2,18,20
TRAVEL,4,16,20
FIND/FIND-OUT,7,13,20
BECAUSE,4,15,19
DEVIL/MISCHIEVOUS,12,7,19
HOPE,4,15,19
GUILTY,8,11,19
REMEMBER,3,16,19
HOSPITAL,6,13,19
SOUTH,4,15,19
JOIN,4,15,19
BELIEVE,6,13,19
TRAIN,4,15,19
TOMATO,4,15,19
MILK,5,14,19
OLD+LESS-THAN,3,16,19
COME,11,8,19
MEAT,5,14,19
HUMBLE,5,14,19
HURRY,5,14,19
WATER+SPRINKLER,1,18,19
RESTAURANT,4,15,19
PRESIDENT,4,15,19
CRASH,4,15,19
"WATER+SCL:5\waterfall\""""",1,18,19
DISAPPEAR,5,14,19
"WATER+BCL\drinking from a water fountain\""""",1,18,19
SANDWICH,4,15,19
PRACTICE,4,15,19
TEMPERATURE,5,14,19
PAST+NIGHT,4,15,19
BALANCE,4,15,19
INCLUDE/INVOLVE,11,8,19
CLOCK,4,15,19
SECRET+HIDE,5,14,19
HUSBAND,4,15,19
SUNDAY,3,16,19
BREAD,6,13,19
HEAR/LISTEN,4,15,19
GOAL,8,11,19
EXPENSIVE,6,13,19
RED+BLUSH,2,17,19
TOILET,6,13,19
BUY+AGENT,3,16,19
MEETING,6,13,19
SICK/SILLY,2,17,19
SURGERY,6,13,19
CHURCH,6,13,19
PLUS,6,13,19
NIGHT,6,13,19
RABBIT,2,17,19
BOTTLE,8,11,19
AIRPLANE,8,11,19
MOVIE+SQUARE,2,17,19
ANGEL,7,12,19
TEA,2,17,19
SNOW,2,17,19
RED+BLOOD,2,17,19
TREE,6,13,19
RED,2,17,19
TOGETHER/GO-STEADY,8,11,19
CORNER,7,12,19
(1h)GOOD/THANK-YOU+(1h)MORNING,3,16,19
HIGH,7,12,19
SINGLE,7,12,19
SOON,3,16,19
SENTENCE,6,13,19
FOLLOW,6,13,19
SIT,6,13,19
(1h)GOOD/THANK-YOU+LUCKY,3,16,19
DIRTY,6,13,19
RED+fs-BERRY,2,17,19
HISTORY,6,12,18
LAW+AGENT,4,14,18
DATE/DESSERT,10,8,18
DEPEND,6,12,18
PERSPECTIVE,4,14,18
NURSE,4,14,18
FREEZE,6,12,18
DECREASE,10,8,18
ELEVATOR,6,12,18
FAIL,6,12,18
STAY,2,16,18
"RED+DCL\face\""""",1,17,18
FRIDAY,6,12,18
RED+BLACK+CHECKERS,1,17,18
ANIMAL,4,14,18
IDEA,5,13,18
"CUTE+DCL\cane\""""",2,16,18
BABY,4,14,18
THINK+MIX-UP,4,14,18
THINK+MESSED-UP,4,14,18
THINK+DECIDE,4,14,18
THINK,4,14,18
BAKE/OVEN,4,14,18
ENVIRONMENT,4,14,18
KNOW+THAT,2,16,18
POTATO,4,14,18
LATE,2,16,18
USE,4,14,18
MONEY,4,14,18
GRANDFATHER,6,12,18
EXPERIENCE,6,12,18
SNOW+MOTORCYCLE,1,17,18
GOOD+MORNING,2,16,18
LIST+DO-DO,2,16,18
ALWAYS,4,14,18
SAD,4,14,18
DRUNK,7,11,18
(1h)HAPPY+NEW+YEAR,2,16,18
GOLD/ns-CALIFORNIA,10,8,18
COMB,7,11,18
CAT+UP,1,17,18
PLACE,8,10,18
BLIND,5,13,18
DOOR+SQUARE,1,17,18
HEART,4,14,18
FUNNY,7,11,18
THINK+MEAN,4,14,18
RAIN,5,13,18
LESS,9,9,18
VOICE,4,14,18
BEARD,3,15,18
LIGHT+LIGHT-OUT,3,15,18
LIGHT+LIGHT-ON,3,15,18
TIRED,2,16,18
NOT,4,14,18
POSTPONE,6,12,18
LIGHT,3,15,18
DOLLAR,7,11,18
BEER,6,12,18
STUDENT,3,15,18
FRIENDLY,4,14,18
SMALL,3,15,18
BATH,4,14,18
MUSIC,3,15,18
WIND,6,12,18
VOLUNTEER/SHIRT,7,11,18
HAMBURGER,7,11,18
ABOUT,3,15,18
PRICE,6,12,18
REALLY,6,12,18
RULE,6,12,18
INTRODUCE,6,12,18
TALK,4,14,18
NEW,3,15,18
TAKE,1,17,18
COLD+DOOR,2,16,18
(1h)GOOD/THANK-YOU+ENOUGH,2,16,18
LAZY,6,12,18
DIPLOMA,9,9,18
AWKWARD,6,12,18
LIGHT+HOUSE,3,15,18
SATURDAY,4,14,18
BEAUTIFUL,8,10,18
FATHER+LAW,4,14,18
NECKLACE,5,13,18
DISCONNECT,9,9,18
OLD+#FF,2,16,18
MORNING,5,13,18
GROW,8,10,18
BOY+FRIEND,3,15,18
MISUNDERSTAND,9,9,18
WINDOW,2,16,18
JUMP,4,14,18
SECOND,8,10,18
CHEAP,6,12,18
CATCH,4,14,18
MINUTE,5,13,18
STRAIGHT,4,14,18
ONE,6,12,18
(1h)GOOD/THANK-YOU+NIGHT,2,16,18
CARE,8,10,18
ANY,6,12,18
ANY+WHERE,6,12,18
APPROVE,2,15,17
GOVERNMENT+AGENT,2,15,17
FEEL+DEFLATE,2,15,17
FEEL+NONE/NOTHING,2,15,17
IMPORTANT,4,13,17
PERSON,1,16,17
BOWL,4,13,17
JEALOUS,4,13,17
KING+AREA,4,13,17
BALLOON,4,13,17
SALT,2,15,17
LEMON,4,13,17
TEACH+AGENT,2,15,17
KING,4,13,17
TEACH,2,15,17
OLD+THREE_2,1,16,17
OLD+TWO_2,1,16,17
BEAR,4,13,17
MOON,3,14,17
WAR,2,15,17
DEEP,4,13,17
FISHING,4,13,17
QUIET,4,13,17
THEORY,2,15,17
OFFICE,2,15,17
CUT,4,13,17
SCIENCE,4,13,17
CEREAL,3,14,17
BATH+fs-TUB,3,14,17
USE+AGENT,3,14,17
GOOD+NIGHT,1,16,17
ORDER,2,15,17
"BOY+DCL\round flat\""""",2,15,17
PAY,3,14,17
ARGUE,3,14,17
UGLY,2,15,17
NORTH,3,14,17
SORRY,3,14,17
PAST+YEAR,2,15,17
SAVE,3,14,17
PARTY,2,15,17
PANTS,2,15,17
(1h)HAPPY+(1h)MOST,1,16,17
DECORATE,4,13,17
OLD+TESTAMENT,1,16,17
FAULT,3,14,17
OLD+ONE_2,1,16,17
OLD+FOUR_2,1,16,17
OLD+FIVE_2,1,16,17
ELEPHANT,4,13,17
OLD+TESTAMENT_2,1,16,17
ESCAPE,4,13,17
CENTER+ns-AMERICA,2,15,17
SOUTH+ns-AFRICA,2,15,17
DIVE,4,13,17
(L)LIVE+BOX/ROOM,2,15,17
RIDE,2,15,17
DRY+AREA,4,13,17
(1h)GOOD/THANK-YOU+MORNING,1,16,17
HEAR+SHUT,2,15,17
READY,4,13,17
EARRING,4,13,17
BEHIND,3,14,17
THINK+(2h)PASS-OUT,3,14,17
PENCIL,2,15,17
PHONE+PUSH-BUTTONS,4,13,17
COOKIE,4,13,17
HEART+HEART-BEAT,3,14,17
SOME,2,15,17
MAGAZINE,5,12,17
ONE+HUNDRED,5,12,17
EXACT,7,10,17
COURT,9,8,17
COMPLAIN/OBJECT,7,10,17
FACE+SAME,5,12,17
GRANDMOTHER,6,11,17
A-LOT,9,8,17
EMBARRASS,7,10,17
UNCLE,4,13,17
HEAD,6,11,17
BAD+DREAM,1,16,17
FINALLY,7,10,17
EXCITED,6,11,17
AUNT,5,12,17
STRANGE,5,12,17
"BREAD+DCL\rounded rectangle\""""",4,13,17
BOTHER/INTERRUPT,6,11,17
ACCEPT,5,12,17
STRONG,5,12,17
HALF,7,10,17
ANY+ONE,5,12,17
(K)KITCHEN,4,13,17
BOX/ROOM,4,13,17
INCREASE,7,10,17
KEEP,7,10,17
SELL,5,12,17
JEWISH,8,9,17
GHOST,8,9,17
TOOTH/GLASS,8,9,17
LECTURE,6,11,17
DISMISS,9,8,17
BRAVE/RECOVER,8,9,17
LIBRARY,5,12,17
FINGERSPELL,10,7,17
GOSSIP,6,11,17
SLOW,4,13,17
ALSO,6,11,17
GONE,6,11,17
ACTION,9,8,17
NINETEEN,9,8,17
LINE,7,10,17
FROM,4,13,17
CAFETERIA,4,13,17
PRISON,5,12,17
(S)OLD+AVERAGE,1,16,17
FIRE/BURN,10,7,17
LAST-YEAR,3,13,16
SALAD,4,12,16
BUTTER,5,11,16
ONE+MILLION/BILLION,4,12,16
WORD,2,14,16
BASEMENT,3,13,16
COMPARE,4,12,16
FEW,4,12,16
MUSIC+AGENT,1,15,16
PUSH,4,12,16
FOLD,5,11,16
DICTIONARY,4,12,16
HEAR+NOISE,1,15,16
EVERYDAY,8,8,16
EIGHTEEN,8,8,16
HOMEWORK,6,10,16
SUNSET,3,13,16
PAY+FINISH,2,14,16
WHEN,2,14,16
SHOULD,5,11,16
EXAGGERATE,6,10,16
HORSE+RIDE-ON,5,11,16
WHICH,2,14,16
NEW+TESTAMENT,1,15,16
GLASSES,2,14,16
SCHEDULE,4,12,16
DESTROY,5,11,16
HELMET,7,9,16
EVERY+(2h)THING,5,11,16
PEACH,4,12,16
BITE,5,11,16
WEDNESDAY,2,14,16
WET,2,14,16
FEEL+GRIEF,1,15,16
WEST,2,14,16
BASEBALL,5,11,16
COVER,5,11,16
RESPECT,4,12,16
FOR,4,12,16
EMPTY/EARLY,7,9,16
CHOCOLATE,4,12,16
MONEY+TRADE,2,14,16
EXPERIMENT,5,11,16
PASS,5,11,16
GARAGE/SUBMARINE,5,11,16
EASTER,4,12,16
AGREE,6,10,16
BATH+BATHROBE,2,14,16
ATTITUDE,5,11,16
CONTACT,4,12,16
BATH+COAT,2,14,16
FEED,4,12,16
GIRL+CORRECT+LAW,1,15,16
DISAGREE,6,10,16
CHALLENGE,4,12,16
INSURANCE/INFECTION,5,11,16
RETIRE,5,11,16
ANGRY,5,11,16
CURSE,4,12,16
AND,5,11,16
WOW/AWFUL,4,12,16
MOVE,2,14,16
CORRECT,4,12,16
ARM,5,11,16
DOUBT,6,10,16
HEAR+EAR-HURT,1,15,16
LOUSY,6,10,16
ENGAGEMENT,8,8,16
PHONE,3,13,16
MUSIC+GROUP/TOGETHER,1,15,16
CELEBRATE,6,10,16
NONE/NOTHING,1,15,16
MONKEY,3,13,16
PEOPLE,3,13,16
THINK+SHOCK,2,14,16
BRACELET,3,13,16
HUNGRY/WISH,4,12,16
CAUSE,4,12,16
PEOPLE+AUDIENCE,3,13,16
OFF,2,14,16
THINK+GENERAL,2,14,16
ART/DESIGN+AGENT,4,12,16
TYPE,6,10,16
"CAR+DCL\long flat surface\""""",3,13,16
SURPRISE/WAKE-UP,6,10,16
MANAGE/CONTROL+AGENT,8,8,16
GIRAFFE,4,12,16
HEART+BEAT_4,2,14,16
CHAIN/OLYMPICS,6,10,16
DRY+(nd-C)SPIN,3,13,16
ANY+THING,4,12,16
VOICE+(1)TEMPERATURE/PITCH,2,14,16
THINK+TALK-TO-SELF,2,14,16
THINK+FAITH,2,14,16
UNDERSTAND,2,14,16
BELT,4,12,16
LIBRARY+AGENT,4,12,16
HOUSE+(P)PAY,1,15,16
NEVER,3,13,16
FORM,4,12,16
HELICOPTER,4,12,16
BOTH,4,12,16
LUCKY,4,12,16
SHAME,8,8,16
OVER/AFTER,8,8,16
WIN,2,14,16
GRAMMAR,4,12,16
GAS/GAS-UP,8,8,16
CHASE,6,10,16
ALARM,6,10,16
BRIDGE,6,10,16
BECOME,6,10,16
LOVE,4,12,16
ENCOURAGE,6,10,16
ENOUGH,6,10,16
FUNCTION,6,10,16
SUPPORT,6,10,16
GOD,4,12,16
NONE,1,15,16
APPROVE/RATIFY,1,15,16
SIGN,1,15,16
EARTH,6,10,16
TRAFFIC,2,14,16
THANK-YOU+SUGGEST,2,14,16
EITHER,9,7,16
SUGGEST,6,10,16
SIGN+LANGUAGE,1,15,16
CARROT,3,12,15
MOTORCYCLE,2,13,15
SUSPECT,3,12,15
STRUGGLE,2,13,15
SEEM,4,11,15
COAT,6,9,15
SOUP,3,12,15
CHEMISTRY,6,9,15
DRY+WASHING-MACHINE,2,13,15
MIRROR,2,13,15
WARN,4,11,15
CAKE,3,12,15
POOR,2,13,15
TEASE,3,12,15
COUNT,6,9,15
CUP,2,13,15
THIRD,5,10,15
THREE,5,10,15
DEFEND,6,9,15
KEY,6,9,15
FACE+STRONG,3,12,15
FACE+NICE/CLEAN,3,12,15
DENTIST,2,13,15
TIE,5,10,15
BARK,3,12,15
HEAVY,6,9,15
(C)VOMIT,1,14,15
RACCOON,3,12,15
SMILE,3,12,15
PICTURE,2,13,15
UP,4,11,15
WATCH,3,12,15
FOUR,6,9,15
GIVE-UP,6,9,15
MICROWAVE,3,12,15
DEER,2,13,15
QUIT,4,11,15
HOCKEY,6,9,15
BEHAVIOR,6,9,15
DUTY,3,12,15
MONDAY,5,10,15
HEARING-AID,6,9,15
LEFT,6,9,15
FANCY,5,10,15
WEATHER,2,13,15
STOMACH,3,12,15
SHEEP,4,11,15
FORK,6,9,15
STRAW,5,10,15
THIRSTY,3,12,15
BACON,3,12,15
ONION,2,13,15
SCIENCE+AGENT,2,13,15
EQUAL,4,11,15
THINK+AGREE,1,14,15
BATH+DRESS/CLOTHES,1,14,15
NERVOUS,4,11,15
SNAKE,2,13,15
TO/UNTIL,4,11,15
MOUSE/FICTION,4,11,15
TRANSFER,2,13,15
BRAG,4,11,15
(cheek)BLIND,2,13,15
HATE,4,11,15
INDEPENDENT,4,11,15
MAYBE,4,11,15
MUST,4,11,15
BERRY,8,7,15
SLEEP+DRESS/CLOTHES,1,14,15
IMPOSSIBLE,4,11,15
NOT+SATISFIED,1,14,15
GRAPES,4,11,15
PRINT,5,10,15
NOON,1,14,15
RADIO,4,11,15
CHICKEN,2,13,15
ACT,8,7,15
BODY,4,11,15
HORSE,4,11,15
STINK,2,13,15
BEG,4,11,15
CANDLE,4,11,15
INTERNET,1,14,15
FROG,4,11,15
GOLF,4,11,15
STAR,2,13,15
STUPID,4,11,15
UPSET,4,11,15
TOAST,2,13,15
BEG+AGENT,4,11,15
TOMORROW,2,13,15
LION,4,11,15
BOAT,4,11,15
SODA,2,13,15
PAY/SPEND,1,14,15
ALWAYS+FOREVER,1,14,15
THINK+GRAB-CHANCE,1,14,15
(5)WEATHER,2,13,15
THINK+FOCUS/NARROW,1,14,15
BOXING,8,7,15
"TREE+DCL\branch\""""",2,13,15
SOAP,2,13,15
STAND,4,11,15
INSTITUTE,7,8,15
NEPHEW,1,14,15
GROUP,4,11,15
VOMIT/HATE,1,14,15
DREAM,4,11,15
AIRPLANE+AGENT,4,11,15
EAGLE,4,11,15
GET,2,13,15
BACK,1,14,15
WOOD,4,11,15
INTERPRET,5,10,15
AUTUMN,5,10,15
OTHER,4,11,15
"BATH+DCL:crvd-B\big round tub\""""",1,14,15
DEPOSIT,7,8,15
ZERO,4,11,15
FENCE,6,9,15
BICYCLE,5,10,15
COMFORTABLE,4,11,15
ANALYZE,4,11,15
KNEEL,7,8,15
STUBBORN,2,13,15
SAUSAGE/HOT-DOG,7,8,15
ICE-CREAM,5,10,15
SEE,4,11,15
PROMISE,4,11,15
NIECE,1,14,15
FAST,2,13,15
GROUP/TOGETHER,4,11,15
SQUIRREL,2,12,14
WASH,3,11,14
WEDDING,2,12,14
SOFT,2,12,14
POWER,2,12,14
TUESDAY,2,12,14
POLITE,2,12,14
GENERATION,6,8,14
CHOKE,7,7,14
TOP,2,12,14
SUGAR/SWEET,2,12,14
CRUEL,6,8,14
WOW,2,12,14
SERIOUS,2,12,14
THAT,2,12,14
GRASS,6,8,14
DISGUST,6,8,14
BEDROOM,2,12,14
PRISON+AGENT,2,12,14
WEAK,2,12,14
WHISTLE,7,7,14
CABBAGE,6,8,14
IGNORE,3,11,14
REASON,2,12,14
CABINET,6,8,14
INVEST,2,12,14
REALLY+NICE/CLEAN,2,12,14
BENEFIT,3,11,14
BITTER,2,12,14
SWALLOW,3,11,14
REGULAR,7,7,14
SUMMER,2,12,14
UNIVERSITY,2,12,14
SHOWER,2,12,14
VAGUE,7,7,14
GAMBLE,6,8,14
YOUNG,2,12,14
STRICT,2,12,14
FREE,6,8,14
FEW/CLOSE,2,12,14
SWEETHEART,2,12,14
THRILL/WHAT'S-UP,7,7,14
(X)FOOL/DOLL,7,7,14
ILLEGAL,7,7,14
WORLD,2,12,14
PIG,2,12,14
NOT-YET,7,7,14
STORY+AGENT,2,12,14
WORRY,2,12,14
GREAT,2,12,14
FRUIT,4,10,14
MEMBER,6,8,14
PROVE,4,10,14
PRAY,4,10,14
"CAR+DCL\curved surface\""""",1,13,14
CAR+ENGINE,1,13,14
CAR+TRUNK,1,13,14
CHOOSE,1,13,14
EARTH+RUMBLE,4,10,14
DIVIDE,4,10,14
PERFECT,4,10,14
CRACKER/PASSOVER,4,10,14
GENERAL,5,9,14
CHANCE,4,10,14
"CAR+DCL:1\speedometer\""""",1,13,14
TIGER,1,13,14
SERVICE,4,10,14
"TREE+DCL\branches\""""",1,13,14
WASTE,4,10,14
FARM,5,9,14
FAVORITE/PREFER,4,10,14
RAT,3,11,14
DINOSAUR,5,9,14
LIMIT,3,11,14
PRIEST,3,11,14
SUNRISE,3,11,14
OFTEN,3,11,14
CURIOUS,4,10,14
SOAP+WASHING-MACHINE,1,13,14
HAIRCUT,6,8,14
BELOW,4,10,14
SNAKE+WAG,1,13,14
LUNCH,4,10,14
INTERPRET+AGENT,4,10,14
INTERVIEW,4,10,14
CAMERA,4,10,14
TASTE,4,10,14
BIOLOGY,4,10,14
LEAD,4,10,14
BET,4,10,14
TWO,4,10,14
LESBIAN,4,10,14
LOCK,4,10,14
EMOTION,4,10,14
SHY,4,10,14
HONOR,4,10,14
ANNOUNCE,4,10,14
HIGHWAY,4,10,14
SQUARE,4,10,14
THING,4,10,14
FOX,4,10,14
RUDE,4,10,14
BREAK,4,10,14
ENERGY,4,10,14
GUM,4,10,14
HAIRCUT/TRIM,6,8,14
CENT+TEN,5,9,14
LIP/MOUTH,6,8,14
SEND,3,11,14
BALD,3,11,14
NUMBER,2,12,14
PRESSURE,6,8,14
SMOOTH,6,8,14
HARD-OF-HEARING,6,8,14
SKIN,6,8,14
TAKE-UP,6,8,14
MATH,3,11,14
STEAL,3,11,14
SEND/MAIL,3,11,14
REQUIRE,3,11,14
AVERAGE,6,8,14
SIZE,6,8,14
FEEDBACK,3,11,14
KICK,6,8,14
ONE+THOUSAND,2,12,14
AROUND,6,8,14
WINE,2,11,13
AREA,1,12,13
ASK,2,11,13
PSYCHOLOGY,3,10,13
ROCK,4,9,13
(Y)BULL,4,9,13
GRAY,4,9,13
MIDDLE,4,9,13
BLOOD,4,9,13
REST,2,11,13
ABOVE,4,9,13
BUTTERFLY,4,9,13
CULTURE,4,9,13
EMPTY/NAKED,4,9,13
REJECT,2,11,13
BREATHE,4,9,13
ANSWER+AGENT,1,12,13
HABIT,4,9,13
COOPERATE/UNITE,6,7,13
CANNOT,6,7,13
DIE,4,9,13
MEMORIZE,3,10,13
FRONT,1,12,13
COMMUTE,4,9,13
SUMMON,2,11,13
HEAVEN,4,9,13
BLESS,4,9,13
LEAF,4,9,13
SKIRT,2,11,13
VIOLIN,2,11,13
GOAT,3,10,13
FURNITURE,4,9,13
SHINE,2,11,13
SNEEZE,4,9,13
GIFT,6,7,13
CLEAR,3,10,13
SEW,2,11,13
MAJOR,4,9,13
MOSQUITO,6,7,13
INTERESTING,4,9,13
PERMIT,6,7,13
(L-X)INTERESTING,4,9,13
LONG,4,9,13
ONE+MORE,1,12,13
STOP,2,11,13
LONELY,4,9,13
DURING/WHILE,2,11,13
REALLY+POSS:i,1,12,13
FUN,4,9,13
SIX,4,9,13
RELIGION,1,12,13
CARE+AGENT,3,10,13
BACKGROUND,4,9,13
SKILL,4,9,13
MIND,4,9,13
SHOVEL/DIG,6,7,13
TRANSLATE,2,11,13
TURTLE,2,11,13
SIXTEEN,6,7,13
PROGRAM,2,11,13
PUT,2,11,13
DANGER,6,7,13
MUSTACHE,2,11,13
FALL-IN-LOVE,4,9,13
ROUGH,2,11,13
METAL,5,8,13
CLEVER,4,9,13
OPPOSITE,4,9,13
FOREVER,5,8,13
FARM+AGENT,4,9,13
FLIRT,4,9,13
DUCK,2,11,13
MANAGE/CONTROL,5,8,13
WARM,2,11,13
GRAB,6,7,13
SERVICE+AGENT,3,10,13
