Word,Video_Count
HEAD-COLD,8
BUY,8
CANE,8
GO-AWAY,8
MANAGE/CONTROL+AGENT,8
BETTER,8
FULL,8
BERRY,8
BIG-HEADED,8
KNIFE,8
FUTURE,8
FRIEND,8
BELONG,8
JEWISH,8
CERTIFY,8
BIRD,8
LIE,8
BEAUTIFUL,8
GAS/GAS-UP,8
LIKE+NEG,8
LIST,8
CARE,8
GHOST,8
LONG-AGO,8
GIVE,8
HURT,8
FLAG,8
LUNGS,8
CAR,8
BLUE,8
HOW-MANY,8
CAT,8
DARK,8
GROW,8
TOOTH/GLASS,8
OLD,8
ALONE,8
SECOND,8
ALLOW,8
PLACE,8
PADDLE/CANOE,8
TOGETHER/GO-STEADY,8
OVER/AFTER,8
SHAME,8
ENJOY,8
AIRPLANE,8
ENGAGEMENT,8
PONDER,8
EVERYDAY,8
EIGHTEEN,8
DECIDE,8
ALL-RIGHT,8
ACT,8
PING-PONG/TENNIS,8
COMPETITION,8
SHAPE/STATUE,8
CONTINUE,8
WORK,8
ADULT-TALL,8
COLD,8
PAINT,8
DRUNK,7
INSTITUTE,7
SEVENTEEN,7
CORNER,7
KNOW,7
SECRET,7
SAUSAGE/HOT-DOG,7
KEEP,7
INCREASE,7
SAME-OLD,7
ABUSE,7
FUNNY,7
ACCIDENT,7
KNEEL,7
KNOW+NEG,7
EGG,7
REGULAR,7
CONVINCE,7
DROP,7
HOW,7
SINGLE,7
GIGGLE,7
WRONG,7
WOMAN,7
BROOM,7
DAUGHTER,7
HALF,7
WHISTLE,7
DEAF,7
HAMBURGER,7
VOTE,7
VOLUNTEER/SHIRT,7
HAPPEN,7
VAGUE,7
HAVE,7
BOY,7
HEARING,7
DEPOSIT,7
THROW,7
HELMET,7
THRILL/WHAT'S-UP,7
HIGH,7
DISH,7
(X)FOOL/DOLL,7
STORM/CLOUDS,7
DOLLAR,7
SPEECH/ORAL,7
DRESSER,7
ILLEGAL,7
PULL,7
NOT-YET,7
FINALLY,7
ELECTRIC,7
FEEL,7
FINISH,7
EMBARRASS,7
EMPTY/EARLY,7
ANGEL,7
COMPLAIN/OBJECT,7
MESSED-UP,7
BASKETBALL,7
MERGE/MAINSTREAM,7
EXACT,7
CHERISH,7
NAB,7
CHEAT,7
COMPUTER,7
OPTION,7
BAR,7
MATCH,7
OF-COURSE,7
CLIP-NAILS,7
AFTERNOON,7
ns-NETHERLANDS,7
FLY-BY-PLANE,7
CHOKE,7
PROBLEM,7
LINE,7
FIND/FIND-OUT,7
MISS/ASSUME,7
FIRST-IN-LIST,7
EVERY-THURSDAY,7
COMB,7
FEMALE-COUSIN,6
CHURCH,6
CRUEL,6
FENCE,6
DISGUST,6
CHRISTMAS,6
CLASS,6
DIRTY,6
COMMUNICATE,6
CRY,6
GOSSIP,6
GONE,6
DISAGREE,6
FOLLOW,6
GRAB,6
GRANDFATHER,6
EXPERIENCE,6
COAT,6
FALL,6
FALSE,6
EXPENSIVE,6
DANGER,6
DANCE,6
GREEN,6
GRASS,6
GRANDMOTHER,6
FAMILY,6
GRAD,6
FAT,6
FATHER,6
EXCITED,6
GRADUATE,6
DEFEND,6
EXAGGERATE,6
CABBAGE,6
CRAZY,6
DEPEND,6
CABINET,6
DELICIOUS,6
DOUBT,6
DIVORCE,6
COOPERATE/UNITE,6
CHASE,6
ENCOURAGE,6
FUNCTION,6
EAT+NIGHT,6
EAT+NOON,6
ELEVATOR,6
FAIL,6
FLOWER,6
CATERPILLAR,6
FRIDAY,6
FREEZE,6
FREE,6
CELEBRATE,6
FRECKLES,6
FOUR,6
FORK,6
FORGET,6
CENTER,6
FORCE,6
FOOTBALL,6
CHAIN/OLYMPICS,6
EAT+MORNING,6
CHEAP,6
DOG,6
GAMBLE,6
CANNOT,6
GLUE,6
DOOR,6
GIVE-UP,6
COW,6
FOOT,6
FINE,6
GIRL+FRIEND,6
COUNT,6
GIRL,6
COUGH,6
DROWN,6
CHEMISTRY,6
CHEESE,6
FIRED,6
GIFT,6
GENERATION,6
EARTH,6
ENOUGH,6
GAME,6
EAST,6
COFFEE,6
IMAGINE,6
GROUND+AREA,6
ns-DETROIT,6
APPLY,6
APPLE,6
ns-EUROPE,6
ANY+WHERE,6
ANY,6
ns-nat-BRAZIL,6
ns-nat-DOMINICAN-REPUBLIC,6
ONE,6
ALSO,6
PAPER-CHECK/CARD,6
PATIENT,6
PERMIT,6
ALL,6
ALARM,6
PLAY,6
ns-ENGLAND/ENGLISH,6
ns-CHICAGO,6
AGREE,6
BROWN,6
BAWL-OUT,6
LOUSY,6
MAKE,6
BANANA,6
MEET,6
MEETING,6
MEMBER,6
BAD,6
MOP,6
AWKWARD,6
AVERAGE,6
MOSQUITO,6
NAME,6
NIGHT,6
ns-ATLANTA,6
PLUS,6
POSTPONE,6
BEAT,6
#BACK,6
#ALL,6
SUGGEST,6
SUPPORT,6
SURGERY,6
SURPRISE/WAKE-UP,6
TAKE-UP,6
TEST,6
TO-FOOL,6
TOILET,6
TRASH/BAG,6
TREE,6
TYPE,6
WANT+NEG,6
WATER+FLOW_2,6
WIND,6
#ASL,6
SPEND,6
PRESSURE,6
SMOOTH,6
PRICE,6
PROTEST,6
REALLY,6
RULE,6
SENTENCE,6
SET-UP,6
SHOVEL/DIG,6
SIGNATURE,6
SISTER,6
SIT,6
SIXTEEN,6
SIZE,6
SKIN,6
#FF,6
SLEEP,6
LIP/MOUTH,6
AROUND,6
"LCL\path-turn-around\""""",6
IMPROVE,6
HARD,6
HOCKEY,6
BEHAVIOR,6
HISTORY,6
LAZY,6
HARD-OF-HEARING,6
HEAD,6
BELIEVE,6
LAW,6
BORE,6
HEARING-AID,6
BORN,6
KITE,6
KINDERGARTEN,6
BOTHER/INTERRUPT,6
KILL,6
INTRODUCE,6
KICK,6
KEY,6
JUMP-FORWARD,6
IRON-CLOTHES,6
HEART+ATTACK,6
BOWLING,6
IX-pl,6
BIRTHDAY,6
BLINK/WINK,6
HEAVY,6
LEARN,6
BREAK-DOWN,6
HOSPITAL,6
HOUR,6
BECOME,6
HOUSE,6
BED,6
BRIDGE,6
HAIRCUT,6
HAIRCUT/TRIM,6
LECTURE,6
LEFT,6
HOMEWORK,6
BEER,6
BREAD,6
LEAVE-THERE,6
HIGH-HEELS,5
SATISFIED,5
GOOD/THANK-YOU,5
SMOKE,5
RUN-OUT,5
GO-BY-BOAT,5
SARCASM,5
DRIVE,5
SHAVE,5
SHOULD,5
HORSE+RIDE-ON,5
SECRET+HIDE,5
SELL,5
EAR_2/BIRTHDAY_2,5
HERE,5
GO-TO-IT,5
FOLD,5
DIVE-OFF-BOARD,5
SPECIALTY,5
STAB,5
GROUCHY,5
WILD-ABOUT,5
WHITE+(5)FACE,5
DAY,5
WHERE,5
GRIP,5
GYM,5
TWINS,5
DELETE,5
TRACE-HEART,5
DESTROY,5
TIE,5
DIMPLE,5
DINOSAUR,5
THREE,5
THIS-PLACE,5
THIRD,5
TEMPERATURE,5
TELL,5
DISAPPEAR,5
HEAR+RUMBLE,5
GRADUAL-DECLINE-A-LOT,5
STRONG,5
RIDE-ON,5
STRAW,5
STRANGE,5
GRAB-CHANCE,5
ROAD,5
POSS-1p,5
RETIRE,5
MINUTE,5
FANCY,5
FARM,5
ns-ASIA,5
ns-AFRICA+ns-AMERICA+AGENT,5
NECKLACE,5
MOVIE,5
MOTHER,5
MOST,5
MORNING,5
MORE,5
FOURTEEN,5
FILTHY,5
MONDAY,5
MIX-UP,5
MILK,5
RESPONSIBILITY,5
MICROPHONE,5
METAL,5
FOREVER,5
MEAT,5
FIRST,5
LEFT-ARM,5
FISH,5
MANAGE/CONTROL,5
MAGAZINE,5
LESS-THAN,5
LOSE-COMPETITION,5
FLOAT,5
LIBRARY,5
FLUTE,5
ns-BALTIMORE,5
LAUGH,5
ns-COKE,5
FACIAL-EXPRESSION,5
REPAIR,5
RAIN,5
PRISON,5
PRINT,5
HUMBLE,5
HURRY,5
EMERGENCY,5
ICE-CREAM,5
LIKE,5
IDEA,5
POP-CORK,5
ENCYCLOPEDIA,5
INSULT,5
PLAN,5
INSURANCE/INFECTION,5
GET-UP,5
INTERPRET,5
PASS,5
EVERY-YEAR,5
EVERY+(2h)THING,5
ONE+HUNDRED,5
ONE-MONTH,5
GENERAL,5
OBSCURE,5
GARAGE/SUBMARINE,5
ns-JESUS,5
ns-ITALY,5
EXPERIMENT,5
FACE+SAME,5
(1)CHEAT,5
LINE-UP,5
CENT+TEN,5
CALL-BY-PHONE,5
ASSIST,5
AHEAD,5
COUSIN,5
COVER,5
CANDY,5
BLACK,5
#ED,5
BASEBALL,5
ARTICLE,5
BITE,5
CAPTIONS,5
ARM,5
CREATE/PRETEND,5
AND,5
#JOB,5
CRUSH,5
ANYWAY/NOT-MATTER,5
COURSE,5
ASSOCIATION,5
ANGRY,5
BLIND,5
CONCERN,5
CONCEPT,5
AUNT,5
AUTUMN,5
ATTITUDE,5
BOOK,5
BRAKE,5
COOK/KITCHEN,5
COME-ON,5
COLLEGE,5
ACCEPT,5
COPY-DOWN,5
BUT,5
ACT+AGENT,5
BUTTER,5
CLOSE-WINDOW,5
CLOSE-DOOR,5
BICYCLE,5
AGGRESSIVE,5
ANY+ONE,5
CHECK,5
ADVERTISE,5
BUTTON,4
GROUP/TOGETHER,4
HAIR_2+BLOND,4
ns-nat-DENMARK,4
HAIR,4
HABIT,4
ns-nat-CHINA,4
USE,4
H,4
GYMNASTICS,4
BREATHE,4
GUM,4
BROKE,4
NEXT-TO,4
BRUSH-TEETH,4
GROUP,4
BUTTERFLY,4
BREAK,4
NINE,4
BUG,4
BURY,4
SO-SO,4
FOX,4
GRAMMAR,4
NINTH,4
ns-nat-CANADA,4
GRAY,4
GRAVY,4
SHOOT-ARROW,4
GRAPES,4
HAIRBRUSH,4
CATCH,4
SHORT,4
BRA,4
HEAR/LISTEN,4
VANILLA,4
DARTS,4
MUST,4
HEADACHE,4
BOX/ROOM,4
(K)KITCHEN,4
SQUARE,4
HATE,4
HAT,4
#CO,4
FORM,4
TOOTHPASTE,4
FORTY,4
FOUNDATION,4
FOUR-DOLLARS,4
NEAT,4
FOUNTAIN,4
HANUKKAH,4
BRAG,4
HANG-UP-PHONE,4
SPEAKERS,4
HANDS,4
ANNOUNCE,4
BRAWL,4
SOUTH,4
NERVOUS,4
"BREAD+DCL\rounded rectangle\""""",4
HALL,4
TORNADO,4
NOISE+RUMBLE,4
CEILING,4
C,4
#IF,4
CAR-HORN,4
ART/DESIGN+AGENT,4
SKILL,4
GIRAFFE,4
ns-ISRAEL,4
TURN-PAGE,4
ns-BULGARIA,4
SIXTH,4
#HR,4
SHY,4
SIX,4
GET-CLOSE,4
TWELVE,4
ns-IRELAND,4
UNCLE,4
FUN,4
TWENTY,4
GAY,4
GATE,4
ns-INDIA,4
APPOINT,4
SIMMER,4
GANG,4
TWICE,4
G,4
FURNITURE,4
ns-GALLAUDET,4
ns-HUNGARY,4
TWO,4
ns-GREECE,4
ANY+THING,4
ns-JESUS+BOOK,4
GLORY,4
ns-AMERICA,4
SNEEZE,4
CAFETERIA,4
TRAIN,4
CALCULUS,4
NOT,4
NOT-CARE,4
CAUSE,4
ns-nat-AUSTRALIA,4
#EARLY,4
TRAVEL,4
FRESHMAN_2,4
UPSET,4
FRIENDLY,4
GOLF,4
CAMERA,4
FROG,4
GOD,4
SLOW,4
CANDLE,4
ns-#FLA,4
TOMATO,4
FROM,4
FROM-NOW-ON,4
ns-#KC,4
FRUIT,4
UP-TO-NOW,4
SHUT,4
UP,4
ns-AFRICA,4
#BUS,4
JUMP,4
(L-X)INTERESTING,4
KARATE,4
LOW,4
LOVE,4
LOUDSPEAKER,4
JUMPROPE,4
LOSE,4
K,4
KANGAROO,4
TALK,4
LUCKY,4
KEEP-IN-MIND,4
(S)KETCHUP,4
LORD,4
TAKE-TRAIN,4
KID,4
TAKE-SUBWAY,4
KIND,4
JOIN,4
LUNCH,4
INTERESTING,4
BAT,4
INTERPRET+AGENT,4
INTERVIEW,4
(S)BROOM,4
MALE-COUSIN,4
MAJOR,4
BISON/BUFFALO,4
MAGIC,4
BATH,4
TASTE,4
BIOLOGY,4
STUPID,4
M,4
TATTLE,4
JAW,4
JEALOUS,4
SUBSCRIBE,4
KING,4
KING+AREA,4
KISS,4
LEG,4
BEG+AGENT,4
LEAD,4
LIPREAD,4
LEAF,4
BEG,4
LEAVE,4
LION,4
BEAR,4
BET,4
LEMON,4
LESBIAN,4
BECAUSE,4
LIBRARY+AGENT,4
LICENSE,4
LICK,4
SUSPEND,4
LIPSTICK,4
LAW+AGENT,4
BELOW,4
TAKE-A-HIKE,4
LONG,4
KNOCK,4
BELT,4
LONELY,4
TAKE-PILL,4
LOCK,4
L,4
TAKE-BREAK,4
LADDER,4
LANGUAGE,4
LITTLE-BIT,4
LAP,4
LAPTOP,4
LAST,4
LAST-WEEK,4
INTERNATIONAL,4
MANY,4
STAND,4
BOAT,4
BACKGROUND,4
THIRTEEN,4
MISTAKE,4
HONOR,4
HOPE,4
HORSE,4
BODY,4
HOT,4
BOMB,4
#AC,4
MIND,4
BLUSH-BRUSH,4
THINK+MIX-UP,4
THINK+MESSED-UP,4
THINK+MEAN,4
HUNGRY/WISH,4
BOIL,4
MOLD,4
MARCHING,4
MOTHER+FATHER,4
HEART,4
TO/UNTIL,4
(L)LEATHER,4
MOUSE/FICTION,4
HEAVEN,4
BOWL,4
HELICOPTER,4
ns-nat-JAMAICA,4
BABY,4
THURSDAY,4
BOTH,4
AUTHORITY,4
B,4
HIGHWAY,4
HILL,4
MONEY,4
HUNTING,4
"\WHAT\""""",4
BLOW-NOSE,4
INDEPENDENT,4
IMPRESS,4
BALL,4
STRIPES,4
BLINDS,4
BALLOON,4
MAYBE,4
MATERIAL,4
INDIVIDUAL,4
HUSBAND,4
BANDAID,4
BAPTIST,4
BLESS,4
INNOCENT,4
INSPIRE,4
MARIJUANA,4
TEN,4
IMPOSSIBLE,4
IMPORTANT,4
IMMATURE,4
BLOND,4
MIDNIGHT,4
STRAIGHT,4
MIDDLE,4
ICE-SKATE,4
THINK+DECIDE,4
BADGE,4
THINK-OVER,4
THINK,4
THING,4
(Y)BULL,4
BAKE/OVEN,4
BLOSSOM,4
IDENTIFY,4
BALANCE,4
BLOOD,4
AUDIOLOGY+AGENT,4
ns-LONDON,4
ROCK,4
RADIO,4
PAST+NIGHT,4
DISCIPLINE,4
RUDE,4
CROWN,4
ENERGY,4
ABOVE,4
ENGINEERING+AGENT,4
ELBOW,4
DIRECT+AGENT,4
ENVIRONMENT,4
EQUAL,4
EQUIPMENT,4
ERASE,4
CULTURE,4
EMPTY/NAKED,4
ALL-NIGHT,4
POTATO,4
PAY-ATTENTION,4
DISCRIMINATE,4
POSTER,4
EMOTION,4
CONFRONT,4
FOREHEAD,4
ELEVEN,4
CONGRATULATIONS,4
ELEPHANT,4
ELEMENTARY,4
ELECTRIC+AGENT,4
CRIPPLE,4
PEA-BRAIN,4
CREDIT-CARD,4
ABORTION,4
ESCAPE,4
PRACTICE,4
DIM,4
EYELASHES,4
EYEBROW-FROWN,4
EYEBROW,4
DRILL,4
EXPRESS,4
A,4
DICTIONARY,4
SANDWICH,4
DIE,4
COLLAR,4
COLOR,4
EXPAND,4
COMFORTABLE,4
EXCEED,4
CURIOUS,4
ALLIGATOR,4
PRAY,4
ALWAYS,4
SALAD,4
SAD,4
COMMUTE,4
EVERY-WEDNESDAY,4
EVERY-TWO-YEARS,4
EVERY-TUESDAY,4
COMPARE,4
EVERY-SUNDAY,4
EVERY-SATURDAY,4
PAPER,4
EVERY-MONDAY,4
EVERY-FRIDAY,4
PEACH,4
DIVE,4
F,4
DONUT,4
DORM,4
ALCOHOL,4
DOORBELL,4
WONDER,4
CRAB/LOBSTER,4
PITCHER,4
WOOD,4
CREAM,4
WHY,4
PINK,4
REQUEST,4
EAGLE,4
CORN,4
CRACK,4
PLASTIC,4
AIRPLANE+AGENT,4
REFER,4
DRY+AREA,4
PLENTY,4
READ,4
READY,4
DREAM,4
WISDOM,4
POP-UP,4
DRUMS,4
DRUGS,4
CORRECT,4
RECORD/BREAK-RECORD,4
WITCH,4
RECLINE/ROCKING-CHAIR,4
RECENT-PAST,4
EARMUFF,4
EARRING,4
EARTH+RUMBLE,4
DO-DO,4
CONTACT,4
PEAS,4
RIGHT,4
DIVIDE,4
RAM,4
CONTACT-LENSES,4
PERCENT,4
PERFECT,4
PERFUME,4
ALL-DAY,4
DIZZY,4
DO,4
PERSPECTIVE,4
EFFORT,4
EDGE/CLIFF,4
RESPECT,4
POSS-pl,4
ECONOMIC,4
COOK/KITCHEN+AGENT,4
PHONE+PUSH-BUTTONS,4
COOKIE,4
EAT+BOX/ROOM,4
POSS-1p-pl,4
PIANO,4
CRASH,4
CRACKER/PASSOVER,4
RESTLESS,4
COOL,4
EASTER,4
RESTAURANT,4
EYES,4
DIALOG,4
WRITE,4
DECORATE,4
CHEW,4
FINGERS,4
FINGERPRINTS,4
FINGER,4
WAIST,4
CHIN,4
PROUD,4
FINANCIAL,4
OTHER,4
CHOCOLATE,4
OH-I-SEE,4
CHANCE,4
DEEP,4
CIGAR,4
ZERO,4
SEARCH-FOR,4
PROVE,4
CIGARETTE,4
PRINCIPAL,4
FIFTEEN,4
CUT-FABRIC,4
QMwg,4
ANALYZE,4
ADVENTUROUS/SNEAKY,4
#PE,4
SEE,4
SEE-SEE,4
D,4
OCTOPUS,4
PROMISE,4
ANIMAL,4
PROGRESS,4
PROTESTANT,4
FLIP-FLOP,4
ns-PHILADELPHIA,4
SEVEN,4
YELLOW,4
PUSH,4
SERVICE,4
ns-nat-RUSSIA,4
FLIRT,4
CYCLE,4
FIVE,4
DEAF-APPLAUSE,4
NURSE,4
FISHING,4
VOICE,4
AGAINST,4
VIDEO-CAMERA,4
WRITE+AGENT,4
OBESE,4
FIREMAN,4
SEEM,4
CHANNEL,4
WARN,4
FEW,4
ONE-FOURTH,4
FAMOUS,4
SCHEDULE,4
FOCUS/NARROW,4
CURTAIN,4
WATER,4
FARM+AGENT,4
CURSE,4
WOW/AWFUL,4
CLOCK,4
FOR,4
OPPORTUNITY,4
OPPOSITE,4
FALSEHOOD,4
CLEVER,4
DETERIORATE,4
QUIET,4
FALL-IN-LOVE,4
COACH,4
ORANGE,4
"WATER+DCL\round flat\""""",4
CURLY,4
QUIT,4
ns-nat-JAPAN,4
COINS/CHANGE,4
SATURDAY,4
WASTE,4
FAST_3,4
FATHER+LAW,4
DARE,4
CUT,4
ONE-MORE,4
WRENCH/PLUMBING,4
WASH-FACE,4
CHAMP,4
DEMOCRAT,4
CHALLENGE,4
ONE-THIRD,4
ns-nat-KOREA,4
SHEEP,4
PRESIDENT,4
CLASS+BOX/ROOM,4
FLEXIBLE,4
FEED,4
CURVE,4
FEDERAL,4
FOOTSTEP,4
FAVORITE/PREFER,4
CUSHION,4
DEPARTMENT,4
ONE+MILLION/BILLION,4
SCIENCE,4
BASEMENT,3
LIGHT+HOUSE,3
BEARD,3
RAT,3
LIGHTNING,3
LIGHTHOUSE,3
LIMIT,3
LIGHT+LIGHT-OUT,3
BARK,3
LIGHT+LIGHT-ON,3
RABBI,3
BASKET,3
(S)MOSQUITO,3
BATH+fs-TUB,3
SUITCASE,3
RABBI_2,3
LONG-SLEEVE,3
PRE-SCHOOL,3
LOLLIPOP,3
RACCOON,3
LOCAL,3
LORD-GOD,3
PREVENT,3
SUCCEED,3
SUMMARIZE,3
ADMIT,3
PRIEST,3
LOWERCASE/TINY,3
SUN,3
SUNDAY,3
SUNRISE,3
SUNSET,3
RAKE,3
SUPERIOR,3
BEACH,3
PUZZLE/PUSH-BUTTONS,3
STUDY,3
SUPERVISE,3
STUDENT,3
ADVISE/INFLUENCE+AGENT,3
SUPERVISE+AGENT,3
SURFACE,3
ADDRESS,3
ns-nat-ITALY,3
MARIONETTE,3
#FIX,3
ns-FRANCE,3
ns-EL-SALVADOR,3
OFTEN,3
SECRETARY,3
ns-DALLAS,3
OLD+LESS-THAN,3
ns-COLOR+fs-DO,3
ARGUE,3
ns-BRITAIN,3
SCREAM,3
ns-AUSTRALIA,3
SCOLD,3
ns-ARIZONA,3
ns-GERMANY,3
ONE-NIGHT-STAND,3
ns-AMERICA+SIGN+LANGUAGE,3
"SCL:V\person walking up ladder\""""",3
ns-#LA,3
"SCL:F\small circle\""""",3
SMALL,3
SCHOOL,3
SMILE,3
SAY,3
SAW,3
#CP,3
NORTH,3
#NO,3
SELF-1p,3
MATH,3
ns-MONTANA,3
SHEET-CAKE,3
SHOE,3
ns-nat-GUATEMALA,3
ns-nat-GERMANY,3
ns-nat-FINLAND,3
ns-nat-CUBA,3
SHOOT,3
ns-nat-MALAYSIA,3
ns-nat-MEXICO,3
ns-nat-MILAN,3
ns-nat-NETHERLANDS,3
ns-nat-AMSTERDAM,3
SHOW+AGENT,3
ns-HAWAII,3
SHAKE-BY-HANDS,3
ns-NEW-YORK,3
ns-MEXICO/SPAIN,3
LIGHT-MATCH,3
ns-PITTSBURGH/MAINE,3
#RR,3
SERVICE+AGENT,3
SEPARATE,3
SEND/MAIL,3
SEND,3
ns-IRAN,3
SICK,3
OPPOSITE+AGENT,3
SAVE-MONEY,3
ORBIT,3
MICROWAVE,3
MONKEY,3
PEOPLE,3
PEOPLE+AUDIENCE,3
RIBS,3
BACKPACK,3
STOMACH,3
MIND+OFF-COURSE,3
PHONE,3
MILLION/BILLION+AGENT,3
BACON,3
PICK/CHOOSE,3
MILK-COW,3
REQUIRE,3
NO-PROBLEM,3
REMEMBER,3
MENTALLY-RETARDED,3
MEMORIZE,3
PISS-OFF,3
MELT/SOLVE,3
BALD,3
MEDITATE,3
PIZZA,3
REFUSE,3
PLUG,3
POEM,3
MEASLES,3
PEAK-MOUNTAIN,3
STIMULATE,3
MOON,3
STICKY,3
SAVE,3
SOCIAL/INTERACT,3
ATTEMPT,3
OUT,3
SOON,3
NEW,3
OVERWHELMED,3
NEVER,3
SORRY,3
SOUP,3
ABANDON,3
PAPER+SQUARE,3
SPELL,3
PARALLEL,3
PARK,3
MYSTERY,3
ABOUT,3
PARLIAMENT,3
MUSIC,3
MOW,3
PASS-OUT,3
AUDIOLOGY,3
PAY,3
STEAL,3
STEAM,3
SUSPECT,3
DASH-LINES,3
LIGHT-FLASH,3
CHANGE,3
FRUSTRATE,3
CATCH-BALL,3
CATHOLIC,3
LIGHT,3
FRESHMAN,3
FRAME,3
URGE,3
CENT+EIGHT,3
USE+AGENT,3
VACUUM,3
FOREIGN,3
FOR-FOR,3
CEREAL,3
CHALK,3
FLUNK,3
FEEDBACK,3
FLAT/LEVEL,3
FLAT/FLOOR,3
CHARACTER,3
FLASHLIGHT,3
FIVE-DOLLARS,3
VODKA,3
CHECK_LIST,3
CHEST,3
WALL,3
FIGURE-OUT,3
WANT,3
CIRCLE,3
WASH,3
CIRCUMCISE,3
UNDER,3
FUNERAL,3
CAT+fs-UP,3
TWIST,3
HEADLINE,3
BOY+FRIEND,3
HARP,3
BRA+UNDERPANTS,3
BRACELET,3
HANDSOME/ns-HAWAII_2,3
HALLOWEEN_2,3
TORTURE,3
TOSS,3
GUN,3
BROTHER+LAW,3
TOUCH-HEART,3
BULL,3
GRIEF,3
BUY+AGENT,3
CAKE,3
CALM-DOWN,3
GOAT,3
CAPITAL-LETTER,3
GLOBE,3
TUNNEL,3
"CAR+DCL\long flat surface\""""",3
CARE+AGENT,3
GET-IN,3
GEOMETRY,3
GENERATIONS-AGO,3
TWENTY-ONE,3
CARROT,3
"GANG+SCL:C\group go together\""""",3
WASHING-MACHINE,3
CLEAR,3
HELL,3
WITH+NEG,3
WHISPER_2,3
EAR-HURT,3
EACH+ONE-pl-arc,3
EACH+ONE,3
EACH,3
E,3
DYE,3
DUTY,3
DUSTING,3
DRY+(nd-C)SPIN,3
CORRESPOND,3
WITH,3
COURT+AGENT,3
DRIBBLE,3
COURT+HOUSE,3
WASHING-MACHINE+SOAP,3
DOWNSTAIRS,3
(1h)GOOD/THANK-YOU+LUCKY,3
DON'T,3
CRAWL,3
DISTRIBUTE,3
CROSS,3
(1h)GOOD/THANK-YOU+(1h)MORNING,3
DINNER+BOX/ROOM,3
DINNER,3
WORTH,3
CURRICULUM,3
DENY,3
DEFLATE,3
YESTERDAY,3
EAT+SELL,3
EGO,3
EIGHT,3
WHAT,3
FAX,3
FAULT,3
FASTING,3
WATCH,3
FANTASY,3
FANCY+BOX/ROOM,3
CLOWN,3
COCAINE,3
COCONUT,3
FACE+STRONG,3
FACE+NICE/CLEAN,3
EYE-MASK,3
EXPOSE,3
COMMITTEE,3
WATER+WATER-RISE,3
COMMUNIST,3
EVERY-MONTH/RENT,3
EVALUATE,3
ETCETERA,3
WAVE-GOODBYE,3
WEALTHY,3
CONDUCT-MUSIC,3
CONFIDENT,3
CONFIDENTIAL,3
CONFUSE,3
CONSTITUTION,3
ELASTIC,3
WHALE,3
EIGHTH,3
HEART+HEART-BEAT,3
PSYCHOLOGY,3
BECOME-FAT,3
LANTERN,3
J,3
JELLY,3
LID,3
SWALLOW,3
JUNIOR,3
TAKE-ADVANTAGE,3
TEASE,3
BENEFIT,3
LAID-UP,3
LATER_2,3
ISOLATED,3
IX-1p,3
THINK+(2h)PASS-OUT,3
KNOW-NOTHING,3
LEGISLATURE,3
TALL,3
HOLD,3
IGNORE,3
KNOW-THAT,3
